Cell,tf,score
05_87_62__s5,Pms1,0.26868974463935247
02_84_27__s3,Pms1,0.37720655766679684
02_95_13__s5,Pms1,0.40933072346936433
06_61_12__s1,Pms1,0.3216014876592066
03_14_11__s5,Pms1,0.30061874782138087
05_46_81__s4,Pms1,0.25856036218423156
06_22_58__s3,Pms1,0.2834191588682223
01_51_37__s6,Pms1,0.28022970717731494
03_05_32__s4,Pms1,0.312967518556634
01_45_30__s4,Pms1,0.2950475041420217
06_76_54__s7,Pms1,0.40191666111954133
04_07_27__s8,Pms1,0.3006112416874395
05_41_18__s7,Pms1,0.2987886792026742
03_82_58__s8,Pms1,0.3053949708735723
05_88_95__s2,Pms1,0.2791755364007113
04_21_51__s2,Pms1,0.4987740911540717
05_28_21__s3,Pms1,0.2586818967312636
01_73_91__s3,Pms1,0.3186125750305528
02_91_15__s7,Pms1,0.29828206879225383
04_70_75__s4,Pms1,0.36584138196587174
05_73_46__s8,Pms1,0.2894930838799726
04_49_24__s8,Pms1,0.2916507163326933
02_28_23__s1,Pms1,0.358943516088592
06_56_24__s3,Pms1,0.527577017511983
06_13_01__s4,Pms1,0.2783520052799755
03_30_06__s5,Pms1,0.26207910168483517
02_52_50__s4,Pms1,0.2998898241438259
06_15_87__s6,Pms1,0.2703891062715409
05_67_88__s6,Pms1,0.46001712838163616
01_79_59__s8,Pms1,0.29545546692612573
01_09_32__s6,Pms1,0.2686940588385951
04_55_58__s3,Pms1,0.3126460552691479
05_21_63__s8,Pms1,0.2862251557812583
06_14_65__s5,Pms1,0.5347213539749357
04_07_42__s8,Pms1,0.2805859470451869
04_96_01__s6,Pms1,0.2716485589100196
01_41_94__s8,Pms1,0.28006980360021955
05_30_06__s8,Pms1,0.3001864708986852
05_64_03__s6,Pms1,0.4318716609388161
02_45_94__s1,Pms1,0.27504745185425433
04_19_67__s1,Pms1,0.36863019394561675
05_05_59__s7,Pms1,0.2848706684570058
01_82_48__s7,Pms1,0.4736606161963216
05_86_89__s2,Pms1,0.28467650195744504
06_15_77__s2,Pms1,0.2694318887207654
01_69_57__s3,Pms1,0.29608379328879647
03_07_77__s4,Pms1,0.28247053090309276
05_10_43__s2,Pms1,0.24153691807758126
05_21_77__s7,Pms1,0.4878519886079897
01_61_86__s5,Pms1,0.5026934836802834
