tf,target,weight,label
MEF2D,RPLP1,-0.7501612250096167,0
E2F4,RPLP1,0.0,0
SATB1,RPLP1,0.0,0
IRF1,RPLP1,-0.853696838294971,0
ATF6,RPLP1,-2.613366071774843,0
JUN,RPLP1,0.0,0
JUND,RPLP1,0.0,0
POU2F2,RPLP1,0.0,0
KLF3,RPLP1,0.0,0
BCL11A,RPLP1,0.7300538225583049,0
MEF2D,RPL36,0.0,0
E2F4,RPL36,0.0,0
SATB1,RPL36,0.0,0
IRF1,RPL36,0.0,0
ATF6,RPL36,-2.2118857286724993,0
JUN,RPL36,0.0,0
JUND,RPL36,0.0,0
POU2F2,RPL36,0.7736768166926182,0
KLF3,RPL36,0.0,0
BCL11A,RPL36,0.0,0
MEF2D,RPL39,0.0,0
E2F4,RPL39,0.0,0
SATB1,RPL39,0.0,0
IRF1,RPL39,-0.828966876974965,0
ATF6,RPL39,-2.0251982511441575,0
JUN,RPL39,0.0,0
JUND,RPL39,0.0,0
POU2F2,RPL39,0.0,0
KLF3,RPL39,0.0,0
BCL11A,RPL39,0.0,0
MEF2D,IGHM,0.0,0
E2F4,IGHM,0.9553137296456573,0
SATB1,IGHM,0.0,0
IRF1,IGHM,1.197925858497179,0
ATF6,IGHM,0.0,0
JUN,IGHM,-0.8878323296925053,0
JUND,IGHM,0.0,0
POU2F2,IGHM,0.0,0
KLF3,IGHM,0.0,0
BCL11A,IGHM,0.9884850031461909,0
MEF2D,EEF1A1,0.0,0
E2F4,EEF1A1,0.0,0
SATB1,EEF1A1,0.0,0
IRF1,EEF1A1,0.0,0
ATF6,EEF1A1,-1.8176760144340165,0
JUN,EEF1A1,0.0,0
JUND,EEF1A1,0.0,0
POU2F2,EEF1A1,0.9167307689216646,0
KLF3,EEF1A1,0.0,0
BCL11A,EEF1A1,0.0,0
MEF2D,RPS8,0.0,0
E2F4,RPS8,0.0,0
SATB1,RPS8,0.0,0
IRF1,RPS8,-1.1128102449299417,0
ATF6,RPS8,-2.4306524878856295,0
JUN,RPS8,0.0,0
JUND,RPS8,0.0,0
POU2F2,RPS8,0.0,0
KLF3,RPS8,0.0,0
BCL11A,RPS8,0.0,0
MEF2D,RPS3A,-0.9047570202870382,0
E2F4,RPS3A,0.0,0
SATB1,RPS3A,0.0,0
IRF1,RPS3A,-0.9046186410683978,0
ATF6,RPS3A,-2.7785506704602496,0
JUN,RPS3A,0.0,0
JUND,RPS3A,0.0,0
POU2F2,RPS3A,0.0,0
KLF3,RPS3A,0.0,0
BCL11A,RPS3A,0.0,0
MEF2D,MTDH,0.9611650380476007,0
E2F4,MTDH,0.0,0
SATB1,MTDH,0.0,0
IRF1,MTDH,-0.8283187190796432,0
ATF6,MTDH,3.140043376968787,0
JUN,MTDH,0.0,0
JUND,MTDH,-1.3195260966294864,0
POU2F2,MTDH,1.5782438549881528,0
KLF3,MTDH,-0.7676969284650317,0
BCL11A,MTDH,1.4503221912195106,0
MEF2D,UBA52,0.0,0
E2F4,UBA52,0.0,0
SATB1,UBA52,0.0,0
IRF1,UBA52,-1.2959256445451413,0
ATF6,UBA52,-1.9510474267650286,0
JUN,UBA52,0.0,0
JUND,UBA52,-0.7259836189281289,0
POU2F2,UBA52,0.8522187515550158,0
KLF3,UBA52,0.0,0
