Cell,category,label
05_87_62__s5,control,0
02_84_27__s3,control,0
02_95_13__s5,control,0
06_61_12__s1,control,0
03_14_11__s5,control,0
05_46_81__s4,control,0
06_22_58__s3,control,0
01_51_37__s6,control,0
03_05_32__s4,control,0
01_45_30__s4,control,0
06_76_54__s7,control,0
04_07_27__s8,control,0
05_41_18__s7,control,0
03_82_58__s8,control,0
05_88_95__s2,control,0
04_21_51__s2,control,0
05_28_21__s3,control,0
01_73_91__s3,control,0
02_91_15__s7,control,0
04_70_75__s4,control,0
05_73_46__s8,control,0
04_49_24__s8,control,0
02_28_23__s1,control,0
06_56_24__s3,control,0
06_13_01__s4,control,0
03_30_06__s5,control,0
02_52_50__s4,control,0
06_15_87__s6,control,0
05_67_88__s6,control,0
01_79_59__s8,control,0
01_09_32__s6,control,0
04_55_58__s3,control,0
05_21_63__s8,control,0
06_14_65__s5,control,0
04_07_42__s8,control,0
04_96_01__s6,control,0
01_41_94__s8,control,0
05_30_06__s8,control,0
05_64_03__s6,control,0
02_45_94__s1,control,0
04_19_67__s1,control,0
05_05_59__s7,control,0
01_82_48__s7,control,0
05_86_89__s2,control,0
06_15_77__s2,control,0
01_69_57__s3,control,0
03_07_77__s4,control,0
05_10_43__s2,control,0
05_21_77__s7,control,0
01_61_86__s5,control,0
04_21_11__s8,control,0
01_44_81__s1,control,0
02_27_09__s8,control,0
05_13_89__s1,control,0
02_41_78__s3,control,0
03_62_34__s1,control,0
06_47_44__s4,control,0
04_21_52__s1,control,0
01_47_23__s6,control,0
05_49_67__s3,control,0
01_12_75__s3,control,0
03_69_14__s1,control,0
04_71_21__s3,control,0
03_90_44__s3,control,0
04_66_43__s4,control,0
06_59_92__s3,control,0
03_07_21__s3,control,0
05_01_21__s7,control,0
05_77_09__s7,control,0
06_83_70__s4,control,0
01_82_27__s1,control,0
05_64_19__s3,control,0
04_14_17__s2,control,0
05_20_75__s7,control,0
05_87_46__s3,control,0
06_16_27__s3,control,0
06_24_77__s3,control,0
04_48_50__s2,control,0
06_09_83__s1,control,0
06_70_43__s7,control,0
04_66_29__s1,control,0
01_66_51__s7,control,0
05_28_15__s1,control,0
06_95_56__s7,control,0
05_94_47__s8,control,0
03_12_55__s4,control,0
06_68_49__s2,control,0
03_79_53__s8,control,0
02_63_37__s6,control,0
05_13_83__s2,control,0
06_48_81__s3,control,0
04_84_19__s6,control,0
02_91_05__s4,control,0
05_87_93__s5,control,0
04_02_81__s6,control,0
06_17_23__s3,control,0
05_66_24__s4,control,0
02_86_43__s5,control,0
05_25_43__s7,control,0
05_47_70__s6,control,0
04_11_93__s3,control,0
02_69_09__s8,control,0
02_85_67__s5,control,0
04_19_06__s4,control,0
03_05_89__s4,control,0
03_80_31__s3,control,0
03_93_05__s7,control,0
01_18_02__s6,control,0
06_93_37__s2,control,0
05_67_31__s2,control,0
06_31_75__s6,control,0
06_51_46__s1,control,0
04_61_56__s5,control,0
01_54_34__s7,control,0
02_86_31__s3,control,0
03_54_38__s5,control,0
04_56_39__s2,control,0
01_54_04__s5,control,0
03_73_74__s7,control,0
06_22_57__s7,control,0
05_16_02__s6,control,0
04_54_53__s2,control,0
02_87_28__s5,control,0
04_78_16__s5,control,0
05_77_58__s2,control,0
04_02_53__s6,control,0
05_68_91__s4,control,0
03_81_84__s8,control,0
04_44_75__s2,control,0
02_80_94__s2,control,0
05_29_95__s2,control,0
03_25_80__s2,control,0
01_54_90__s4,control,0
04_45_25__s5,control,0
02_53_84__s2,control,0
06_43_40__s1,control,0
04_33_62__s2,control,0
06_60_73__s2,control,0
06_55_94__s4,control,0
01_18_79__s7,control,0
05_19_29__s4,control,0
03_72_62__s6,control,0
06_55_24__s5,control,0
02_43_29__s5,control,0
02_47_02__s3,control,0
06_46_72__s5,control,0
03_43_74__s2,control,0
04_54_08__s2,control,0
06_83_59__s8,control,0
06_77_19__s7,control,0
01_94_24__s1,control,0
01_01_56__s2,control,0
02_88_48__s4,control,0
02_94_27__s4,control,0
03_48_01__s4,control,0
04_40_54__s4,control,0
06_16_34__s4,control,0
01_51_56__s4,control,0
03_68_06__s3,control,0
04_47_86__s8,control,0
03_43_48__s8,control,0
06_37_36__s4,control,0
04_22_93__s3,control,0
01_74_15__s6,control,0
02_31_63__s1,control,0
02_92_05__s4,control,0
03_29_26__s4,control,0
02_53_89__s3,control,0
02_89_53__s3,control,0
04_68_90__s3,control,0
06_64_54__s1,control,0
01_79_24__s4,control,0
04_49_61__s2,control,0
03_73_31__s4,control,0
05_84_41__s7,control,0
03_61_09__s8,control,0
01_21_02__s1,control,0
01_43_69__s1,control,0
02_05_91__s1,control,0
05_21_27__s8,control,0
05_15_88__s2,control,0
05_77_69__s3,control,0
05_23_79__s8,control,0
01_69_78__s7,control,0
04_17_66__s2,control,0
03_26_58__s8,control,0
02_28_59__s8,control,0
03_04_90__s1,control,0
04_89_75__s8,control,0
03_41_35__s1,control,0
04_25_54__s4,control,0
01_02_07__s8,control,0
01_28_53__s5,control,0
04_21_75__s1,control,0
03_04_63__s7,control,0
03_55_73__s3,control,0
04_16_85__s3,control,0
03_50_23__s6,control,0
04_03_50__s2,control,0
06_02_04__s4,control,0
02_40_65__s4,control,0
02_46_86__s7,control,0
01_61_45__s7,control,0
06_12_55__s8,control,0
03_23_09__s1,control,0
05_68_50__s5,control,0
01_89_09__s3,control,0
06_53_39__s6,control,0
01_53_94__s3,control,0
04_76_29__s7,control,0
03_73_54__s8,control,0
01_02_14__s4,control,0
04_31_25__s6,control,0
01_17_07__s4,control,0
03_73_45__s1,control,0
06_93_90__s6,control,0
06_14_93__s5,control,0
06_81_82__s1,control,0
01_20_59__s6,control,0
04_48_34__s5,control,0
05_55_90__s7,control,0
06_54_86__s8,control,0
04_06_66__s3,control,0
04_42_12__s1,control,0
03_51_64__s3,control,0
01_76_50__s5,control,0
03_20_73__s6,control,0
02_80_30__s8,control,0
02_01_01__s2,control,0
02_73_64__s1,control,0
06_39_69__s7,control,0
05_43_41__s4,control,0
06_09_07__s8,control,0
01_53_94__s1,control,0
02_42_88__s1,control,0
02_12_32__s7,control,0
01_13_08__s1,control,0
01_15_91__s5,control,0
05_53_01__s4,control,0
05_16_32__s6,control,0
04_44_34__s1,control,0
01_91_23__s5,control,0
02_49_34__s1,control,0
01_95_47__s6,control,0
05_73_04__s3,control,0
03_25_03__s1,control,0
06_39_21__s3,control,0
04_35_38__s1,control,0
05_51_68__s4,control,0
03_73_77__s4,control,0
06_38_03__s8,control,0
02_90_96__s2,control,0
01_93_32__s8,control,0
06_95_82__s5,control,0
03_39_54__s1,control,0
05_35_55__s3,control,0
04_22_38__s3,control,0
04_75_78__s3,control,0
05_24_78__s3,control,0
04_61_18__s1,control,0
06_89_71__s1,control,0
06_87_64__s4,control,0
03_60_08__s4,control,0
05_35_10__s2,control,0
06_50_83__s4,control,0
05_78_46__s1,control,0
04_44_06__s7,control,0
02_10_05__s6,control,0
02_51_23__s3,control,0
04_30_31__s2,control,0
04_82_69__s3,control,0
01_48_61__s7,control,0
05_80_18__s1,control,0
03_93_91__s5,control,0
06_27_95__s8,control,0
05_46_26__s2,control,0
03_10_52__s8,control,0
01_08_05__s1,control,0
04_61_48__s4,control,0
05_15_85__s1,control,0
01_29_31__s5,control,0
04_56_68__s5,control,0
03_25_38__s8,control,0
03_37_44__s5,control,0
03_17_60__s2,control,0
05_26_59__s4,control,0
04_44_68__s8,control,0
02_31_44__s4,control,0
03_55_08__s6,control,0
02_79_55__s5,control,0
06_07_08__s7,control,0
04_61_34__s1,control,0
05_21_93__s6,control,0
06_28_35__s4,control,0
04_10_18__s7,control,0
02_76_62__s1,control,0
04_70_22__s5,control,0
05_54_94__s4,control,0
05_82_14__s3,control,0
06_85_68__s1,control,0
06_55_73__s5,control,0
05_82_65__s8,control,0
03_18_62__s6,control,0
02_52_34__s2,control,0
06_33_67__s4,control,0
04_20_51__s7,control,0
02_91_45__s6,control,0
02_47_44__s4,control,0
06_21_88__s4,control,0
01_39_63__s8,control,0
06_84_17__s6,control,0
01_08_34__s3,control,0
02_71_35__s2,control,0
03_73_13__s7,control,0
01_47_84__s1,control,0
05_69_86__s5,control,0
02_26_73__s5,control,0
03_78_55__s8,control,0
06_04_44__s7,control,0
06_27_08__s3,control,0
01_45_60__s4,control,0
03_82_92__s5,control,0
06_89_01__s6,control,0
03_88_52__s1,control,0
02_71_55__s6,control,0
06_34_60__s4,control,0
04_87_04__s4,control,0
02_18_21__s1,control,0
04_54_39__s5,control,0
03_26_56__s4,control,0
04_74_05__s8,control,0
06_50_93__s6,control,0
03_20_01__s5,control,0
01_51_73__s5,control,0
04_30_81__s8,control,0
01_55_31__s3,control,0
06_80_06__s4,control,0
06_43_73__s2,control,0
02_06_64__s8,control,0
04_88_67__s1,control,0
06_89_80__s8,control,0
01_42_11__s7,control,0
05_15_24__s7,control,0
05_68_78__s2,control,0
02_51_60__s3,control,0
06_57_27__s1,control,0
06_13_19__s2,control,0
03_13_18__s8,control,0
06_31_42__s6,control,0
02_42_48__s1,control,0
02_46_72__s4,control,0
02_59_56__s1,control,0
06_08_31__s1,control,0
02_67_87__s4,control,0
02_94_58__s6,control,0
05_09_32__s3,control,0
03_68_47__s3,control,0
04_63_51__s1,control,0
02_53_28__s3,control,0
03_24_96__s5,control,0
04_38_84__s6,control,0
05_42_62__s2,control,0
03_23_55__s4,control,0
02_23_94__s8,control,0
03_92_33__s1,control,0
05_60_85__s8,control,0
03_40_93__s5,control,0
03_64_55__s8,control,0
02_67_84__s1,control,0
03_35_67__s7,control,0
02_27_84__s2,control,0
01_09_35__s1,control,0
03_64_04__s7,control,0
02_40_58__s1,control,0
05_75_02__s4,control,0
03_19_57__s8,control,0
01_36_31__s1,control,0
03_30_53__s2,control,0
02_47_47__s7,control,0
01_94_81__s1,control,0
05_68_11__s1,control,0
03_88_36__s4,control,0
02_02_31__s6,control,0
04_25_67__s2,control,0
06_72_46__s8,control,0
05_01_50__s4,control,0
06_61_41__s3,control,0
06_70_34__s7,control,0
05_93_35__s6,control,0
02_71_04__s3,control,0
01_39_79__s6,control,0
01_41_23__s5,control,0
05_76_76__s8,control,0
05_29_82__s1,control,0
05_39_17__s6,control,0
02_32_51__s4,control,0
06_94_48__s5,control,0
01_19_30__s1,control,0
01_80_19__s7,control,0
02_05_21__s4,control,0
04_92_05__s3,control,0
03_53_45__s7,control,0
02_79_14__s3,control,0
05_39_95__s3,control,0
02_17_52__s4,control,0
01_38_82__s3,control,0
05_93_71__s5,control,0
02_13_88__s1,control,0
06_75_56__s7,control,0
04_22_83__s7,control,0
04_37_33__s4,control,0
02_37_68__s1,control,0
01_10_26__s5,control,0
02_59_43__s8,control,0
01_02_96__s2,control,0
05_62_10__s5,control,0
02_81_43__s5,control,0
06_31_89__s4,control,0
02_55_06__s7,control,0
06_38_92__s2,control,0
03_51_83__s2,control,0
05_95_51__s1,control,0
03_51_58__s3,control,0
06_90_63__s7,control,0
06_14_87__s1,control,0
03_49_37__s3,control,0
02_06_66__s1,control,0
06_66_26__s5,control,0
06_72_90__s4,control,0
05_50_64__s2,control,0
04_25_27__s1,control,0
05_66_26__s6,control,0
06_33_35__s7,control,0
03_23_19__s1,control,0
03_59_52__s7,control,0
02_27_37__s7,control,0
06_24_87__s7,control,0
03_75_30__s8,control,0
06_38_66__s7,control,0
05_08_87__s6,control,0
01_84_08__s2,control,0
05_76_81__s6,control,0
03_42_60__s5,control,0
01_06_82__s6,control,0
03_24_67__s3,control,0
01_57_46__s6,control,0
02_03_26__s7,control,0
03_50_76__s7,control,0
06_75_31__s3,control,0
05_91_50__s4,control,0
01_31_07__s8,control,0
05_49_46__s6,control,0
04_26_67__s2,control,0
04_22_87__s1,control,0
06_85_63__s8,control,0
06_42_19__s8,control,0
03_49_53__s4,control,0
03_13_31__s6,control,0
01_77_63__s8,control,0
05_86_02__s6,control,0
02_47_31__s4,control,0
05_06_73__s8,control,0
06_89_49__s6,control,0
04_62_61__s8,control,0
06_49_04__s7,control,0
04_04_81__s4,control,0
06_51_55__s8,control,0
05_51_38__s6,control,0
01_01_50__s4,control,0
06_43_66__s7,control,0
06_77_05__s7,control,0
04_01_12__s1,control,0
03_75_90__s8,control,0
01_62_68__s4,control,0
05_40_29__s8,control,0
05_54_51__s2,control,0
05_48_15__s4,control,0
04_44_31__s5,control,0
03_64_81__s6,control,0
02_72_04__s1,control,0
03_45_80__s7,control,0
06_52_25__s1,control,0
05_65_19__s3,control,0
04_65_81__s2,control,0
02_85_30__s4,control,0
03_61_30__s2,control,0
01_51_67__s1,control,0
04_49_73__s7,control,0
03_61_10__s1,control,0
05_66_65__s3,control,0
02_08_21__s3,control,0
03_16_15__s1,control,0
01_23_86__s1,control,0
05_16_05__s4,control,0
06_58_66__s6,control,0
01_25_59__s1,control,0
01_57_32__s7,control,0
04_78_57__s2,control,0
02_82_74__s2,control,0
03_86_87__s4,control,0
06_18_60__s4,control,0
04_77_63__s3,control,0
04_39_28__s6,control,0
03_24_14__s1,control,0
05_62_08__s6,control,0
04_88_74__s4,control,0
03_90_82__s8,control,0
06_35_15__s2,control,0
03_94_65__s8,control,0
06_55_70__s6,control,0
04_49_81__s4,control,0
01_91_83__s8,control,0
03_24_77__s2,control,0
01_22_03__s7,control,0
01_37_03__s6,control,0
02_93_90__s8,control,0
03_13_59__s7,control,0
04_84_70__s4,control,0
05_01_74__s3,control,0
06_59_11__s1,control,0
03_78_89__s1,control,0
01_21_72__s1,control,0
02_75_02__s7,control,0
06_68_16__s5,control,0
04_31_57__s8,control,0
06_90_78__s2,control,0
05_71_76__s8,control,0
01_10_28__s1,control,0
04_04_10__s2,control,0
03_55_09__s3,control,0
05_95_35__s7,control,0
06_59_34__s5,control,0
02_28_59__s1,control,0
02_21_07__s8,control,0
05_74_80__s2,control,0
04_79_58__s1,control,0
06_02_69__s5,control,0
01_31_43__s6,control,0
06_89_11__s5,control,0
02_61_51__s6,control,0
02_12_96__s5,control,0
03_07_70__s7,control,0
01_62_69__s1,control,0
05_86_29__s7,control,0
01_64_79__s8,control,0
05_72_26__s6,control,0
03_89_84__s3,control,0
01_63_20__s3,control,0
06_92_32__s8,control,0
04_13_96__s8,control,0
05_74_68__s2,control,0
02_38_11__s7,control,0
01_07_87__s4,control,0
01_13_65__s7,control,0
01_28_23__s5,control,0
03_37_51__s7,control,0
02_91_60__s2,control,0
01_59_45__s8,control,0
03_68_27__s4,control,0
05_33_26__s7,control,0
05_62_28__s5,control,0
06_07_17__s4,control,0
06_43_67__s2,control,0
02_02_21__s3,control,0
05_32_64__s5,control,0
01_80_43__s8,control,0
04_81_01__s1,control,0
01_82_26__s5,control,0
06_93_04__s1,control,0
03_63_10__s4,control,0
03_77_19__s1,control,0
01_30_93__s8,control,0
03_25_93__s1,control,0
02_78_05__s5,control,0
02_19_78__s3,control,0
05_13_40__s7,control,0
05_84_30__s7,control,0
01_62_71__s6,control,0
02_92_64__s4,control,0
04_56_80__s4,control,0
06_31_14__s5,control,0
03_76_05__s6,control,0
02_16_73__s7,control,0
05_31_69__s3,control,0
05_30_45__s1,control,0
03_58_42__s1,control,0
05_67_37__s8,control,0
03_22_18__s8,control,0
01_32_53__s4,control,0
03_79_28__s5,control,0
03_56_93__s6,control,0
02_65_21__s2,control,0
01_36_77__s4,control,0
06_91_07__s6,control,0
03_86_73__s2,control,0
03_69_88__s8,control,0
05_75_60__s5,control,0
01_82_68__s3,control,0
01_16_80__s3,control,0
01_46_33__s5,control,0
04_88_16__s6,control,0
02_69_39__s2,control,0
06_10_68__s8,control,0
05_62_31__s4,control,0
04_16_77__s8,control,0
02_59_88__s6,control,0
06_04_56__s6,control,0
01_93_83__s6,control,0
06_63_64__s1,control,0
05_21_44__s5,control,0
04_02_13__s1,control,0
02_71_07__s4,control,0
06_03_69__s5,control,0
02_56_63__s3,control,0
05_06_29__s7,control,0
01_04_40__s4,control,0
05_07_81__s8,control,0
05_60_62__s5,control,0
06_04_30__s4,control,0
01_89_48__s4,control,0
06_93_13__s6,control,0
06_83_85__s3,control,0
02_91_03__s1,control,0
06_39_49__s3,control,0
03_46_09__s4,control,0
02_93_37__s4,control,0
