Cell,treatment,final_annotation_functional
05_87_62__s5,control,Basal-like
02_84_27__s3,control,Basal-like
02_95_13__s5,control,Basal-like
06_61_12__s1,control,Basal-like
03_14_11__s5,control,Basal-like
05_46_81__s4,control,Basal-like
06_22_58__s3,control,Basal-like
01_51_37__s6,control,Proliferating cells
03_05_32__s4,control,Proliferating cells
01_45_30__s4,control,Basal-like
06_76_54__s7,control,Proliferating cells
04_07_27__s8,control,Basal-like
05_41_18__s7,control,Basal-like
03_82_58__s8,control,Basal-like
05_88_95__s2,control,Basal-like
04_21_51__s2,control,Proliferating cells
05_28_21__s3,control,Basal-like
01_73_91__s3,control,Basal-like
02_91_15__s7,control,Basal-like
04_70_75__s4,control,Proliferating cells
05_73_46__s8,control,Basal-like
04_49_24__s8,control,Basal-like
02_28_23__s1,control,Basal-like
06_56_24__s3,control,Proliferating cells
06_13_01__s4,control,Basal-like
03_30_06__s5,control,Basal-like
02_52_50__s4,control,Basal-like
06_15_87__s6,control,Proliferating cells
05_67_88__s6,control,Basal-like
01_79_59__s8,control,Basal-like
01_09_32__s6,control,Basal-like
04_55_58__s3,control,Basal-like
05_21_63__s8,control,Basal-like
06_14_65__s5,control,Proliferating cells
04_07_42__s8,control,Basal-like
04_96_01__s6,control,Basal-like
01_41_94__s8,control,Basal-like
05_30_06__s8,control,Basal-like
05_64_03__s6,control,Proliferating cells
02_45_94__s1,control,Basal-like
04_19_67__s1,control,Basal-like
05_05_59__s7,control,Basal-like
01_82_48__s7,control,Proliferating cells
05_86_89__s2,control,Basal-like
06_15_77__s2,control,Basal-like
01_69_57__s3,control,Basal-like
03_07_77__s4,control,Basal-like
05_10_43__s2,control,Basal-like
05_21_77__s7,control,Proliferating cells
01_61_86__s5,control,Proliferating cells
04_21_11__s8,control,Proliferating cells
01_44_81__s1,control,Basal-like
02_27_09__s8,control,Proliferating cells
05_13_89__s1,control,Basal-like
02_41_78__s3,control,Basal-like
03_62_34__s1,control,Proliferating cells
06_47_44__s4,control,Basal-like
04_21_52__s1,control,Basal-like
01_47_23__s6,control,Basal-like
05_49_67__s3,control,Basal-like
01_12_75__s3,control,Proliferating cells
03_69_14__s1,control,Basal-like
04_71_21__s3,control,Basal-like
03_90_44__s3,control,Basal-like
04_66_43__s4,control,Basal-like
06_59_92__s3,control,Basal-like
03_07_21__s3,control,Basal-like
05_01_21__s7,control,Basal-like
05_77_09__s7,control,Basal-like
06_83_70__s4,control,Basal-like
01_82_27__s1,control,Basal-like
05_64_19__s3,control,Basal-like
04_14_17__s2,control,Basal-like
05_20_75__s7,control,Basal-like
05_87_46__s3,control,Basal-like
06_16_27__s3,control,Basal-like
06_24_77__s3,control,Proliferating cells
04_48_50__s2,control,Basal-like
06_09_83__s1,control,Basal-like
06_70_43__s7,control,Basal-like
04_66_29__s1,control,Basal-like
01_66_51__s7,control,Proliferating cells
05_28_15__s1,control,Proliferating cells
06_95_56__s7,control,Basal-like
05_94_47__s8,control,Basal-like
03_12_55__s4,control,Basal-like
06_68_49__s2,control,Basal-like
03_79_53__s8,control,Basal-like
02_63_37__s6,control,Basal-like
05_13_83__s2,control,Basal-like
06_48_81__s3,control,Proliferating cells
04_84_19__s6,control,Basal-like
02_91_05__s4,control,Proliferating cells
05_87_93__s5,control,Basal-like
04_02_81__s6,control,Basal-like
06_17_23__s3,control,Basal-like
05_66_24__s4,control,Proliferating cells
02_86_43__s5,control,Basal-like
